Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Guinea,GIN,"Population, male",SP.POP.TOTL.MA.IN,4109599,4150573,4206776,4303547,4395576,4479878,4570372,4676528,4791806,4911573,5035358,5163256,5292876,5425320,5564217,5711742,5866792,6024466,6184649,6349991
Guinea,GIN,"Population, total",SP.POP.TOTL,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539
Guinea-Bissau,GNB,"Population, female",SP.POP.TOTL.FE.IN,630899,644242,658447,673448,689097,705396,722513,740644,759452,778729,798649,819438,841145,863505,886107,908728,931364,953800,976163,998712
Guinea-Bissau,GNB,"Population, male",SP.POP.TOTL.MA.IN,599950,613138,627230,642205,657912,674317,691579,709928,728980,748466,768572,789578,811572,834247,857202,880191,903188,926027,948791,971745
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457
Guyana,GUY,"Population, female",SP.POP.TOTL.FE.IN,380557,380591,380510,380574,380750,380652,380230,379546,378592,377375,375947,374340,374465,377010,380184,383410,386678,389970,399474,405932
Guyana,GUY,"Population, male",SP.POP.TOTL.MA.IN,378495,379218,379813,379988,379674,379057,378137,376976,375558,373882,371984,369890,369501,370411,370931,371621,372409,373282,386040,392821
Guyana,GUY,"Population, total",SP.POP.TOTL,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753
Haiti,HTI,"Population, female",SP.POP.TOTL.FE.IN,4210027,4285558,4360349,4435711,4510238,4585537,4663269,4741167,4819071,4897538,4952137,5006574,5084975,5162748,5240216,5317590,5394724,5471873,5548683,5625310
Haiti,HTI,"Population, male",SP.POP.TOTL.MA.IN,4150198,4226169,4301197,4376534,4451252,4526364,4603020,4679659,4756176,4833100,4890743,4947739,5023564,5098458,5172525,5246167,5319125,5391671,5463738,5535128
Haiti,HTI,"Population, total",SP.POP.TOTL,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438
Honduras,HND,"Population, female",SP.POP.TOTL.FE.IN,3292265,3381604,3471303,3560838,3650279,3739573,3828462,3916700,4003999,4090493,4176200,4261105,4345369,4429055,4512235,4595215,4678163,4761059,4844019,4927035
Honduras,HND,"Population, male",SP.POP.TOTL.MA.IN,3364459,3456257,3548604,3641043,3733128,3825041,3916738,4007762,4097779,4186810,4274733,4361400,4446997,4531602,4615611,4699291,4782635,4865783,4948831,5031794
Honduras,HND,"Population, total",SP.POP.TOTL,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829
